,searchword,search_date,search_time
376,https://www.youtube.com/watch?v=t386-4NbRvg,2022-12-13,오후 7:10
377,crashcourse statistics # 14,2022-12-13,오전 9:50
378,crashcourse statistics,2022-12-13,오전 9:50
379,crashcourse statisticis,2022-12-13,오전 9:50
380,https://www.youtube.com/watch?v=VhsnX_KfXOk,2022-12-13,오전 9:48
381,데이터분석 인사이트,2022-12-12,오후 11:44
382,데이터분석 인사이트,2022-12-12,오후 9:09
383,감스트 페이커,2022-12-12,오후 6:56
384,매트릭스 4,2022-12-12,오전 11:00
385,Crashcourse stats,2022-12-12,오전 8:45
386,Crash,2022-12-12,오전 8:45
387,말많은소녀,2022-12-12,오전 8:30
388,페이커,2022-12-11,오전 10:56
389,채수빈,2022-12-10,오후 9:33
390,세글자,2022-12-10,오후 8:01
391,호강구조대,2022-12-10,오전 7:56
392,호강구조대,2022-12-09,오후 3:35
393,사망여우,2022-12-09,오후 3:32
394,면접왕 이형,2022-12-08,오후 3:43
395,사망여우,2022-12-07,오전 2:17
396,아이패드,2022-12-07,오전 1:57
397,NLU stanford,2022-12-06,오후 11:43
398,NLP,2022-12-06,오후 11:41
399,natrual language processing,2022-12-06,오후 10:06
400,natrual language processing,2022-12-06,오후 9:25
401,왕토,2022-12-06,오전 10:47
402,랄로,2022-12-06,오전 12:53
403,데이터홀릭,2022-12-05,오후 11:01
404,statistics,2022-12-05,오후 9:59
405,crashcourse statistics #8,2022-12-05,오전 9:11
406,crashcourse statistics,2022-12-05,오전 9:11
407,사망여우,2022-12-03,오후 6:29
408,데이터홀릭,2022-12-03,오전 10:56
409,project ryu,2022-12-02,오후 3:45
410,면접왕 이형,2022-12-01,오후 8:11
411,tableau buffer functio,2022-12-01,오후 12:42
412,영레기,2022-12-01,오후 12:11
413,지스타 타로마루,2022-12-01,오후 12:09
414,김실장,2022-12-01,오전 11:48
415,crash course nlp,2022-11-28,오후 7:40
416,너진똑,2022-11-28,오후 12:30
417,crashcourse statistics,2022-11-28,오후 12:15
418,https://www.youtube.com/watch?v=KaaI_8oOyX8,2022-11-26,오후 3:32
419,https://www.youtube.com/watch?v=2116MP83y_M,2022-11-24,오후 4:08
420,야옹해 바바,2022-11-24,오후 4:08
421,괴물쥐,2022-11-24,오후 4:08
422,랄로,2022-11-24,오후 4:07
423,파카,2022-11-24,오후 4:07
424,춘자,2022-11-24,오후 4:07
425,병병병,2022-11-24,오후 4:07
426,발 젭,2022-11-24,오후 4:06
427,만 당,2022-11-24,오후 4:06
428,김여정 천치바보,2022-11-24,오후 4:01
429,우정잉,2022-11-24,오후 3:56
430,https://www.youtube.com/watch?v=jF9WbZ78oJw,2022-11-23,오후 3:10
431,쇼진,2022-11-23,오후 2:44
432,소빈,2022-11-23,오후 2:44
433,네이버커넥트,2022-11-23,오후 2:12
434,쵸단,2022-11-23,오전 9:31
435,너덜트,2022-11-23,오전 9:31
436,우정잉,2022-11-23,오전 9:31
437,듀단,2022-11-23,오전 9:27
438,https://www.youtube.com/watch?v=YZRWbrcwD8g,2022-11-23,오전 9:09
439,statistics,2022-11-23,오전 8:49
440,파카,2022-11-23,오전 7:40
441,mediocre,2022-11-22,오후 9:12
442,발젭,2022-11-22,오후 7:14
443,https://www.youtube.com/watch?v=8_IhhZiMQgw,2022-11-22,오후 7:07
444,팍플레이,2022-11-22,오후 7:02
445,언리얼엔진5,2022-11-22,오후 6:05
446,러셀,2022-11-22,오후 6:05
447,네이버커넥트,2022-11-22,오후 2:04
448,네이버 커넥트,2022-11-22,오후 2:00
449,https://www.youtube.com/watch?v=2116MP83y_M,2022-11-22,오후 1:18
450,만 당,2022-11-22,오후 1:18
451,발 젭,2022-11-22,오후 1:14
452,병병병,2022-11-22,오후 1:14
453,야옹해 바바,2022-11-22,오후 1:13
454,팍플레이,2022-11-22,오후 1:02
455,랄로,2022-11-22,오후 1:02
456,모아요,2022-11-22,오후 1:02
457,파카,2022-11-22,오후 1:02
458,statistics2,2022-11-21,오후 10:02
459,statistics,2022-11-21,오후 10:02
460,랄로 구조대,2022-11-21,오후 9:59
461,크래쉬 코스,2022-11-21,오후 6:18
462,세글자,2022-11-21,오후 2:34
463,괴물쥐,2022-11-21,오후 2:33
464,파카,2022-11-21,오후 2:33
465,#유승민,2022-11-21,오후 2:32
466,유승민,2022-11-21,오후 2:31
467,팍플레이,2022-11-21,오전 9:55
468,statistics,2022-11-21,오전 8:27
469,statistics class,2022-11-21,오전 8:24
470,crashcourse,2022-11-21,오전 8:07
471,채용연계형 인턴,2022-11-20,오후 10:44
472,Crashcourse,2022-11-20,오후 10:26
473,산업을 정하기,2022-11-20,오후 10:10
474,게임 데이터 분석,2022-11-20,오후 10:02
475,gstar 2022,2022-11-20,오후 9:53
476,gstar 2022 취업박람회,2022-11-20,오후 9:43
477,팍플레이,2022-11-20,오후 4:53
478,g식,2022-11-20,오전 12:52
479,지스타,2022-11-19,오후 1:06
480,옥냥이,2022-11-19,오전 1:29
481,카이,2022-11-18,오후 8:00
482,https://www.youtube.com/watch?v=2116MP83y_M,2022-11-18,오후 6:12
483,괴물쥐 구조대,2022-11-18,오후 3:18
484,파카,2022-11-18,오후 3:18
485,팍플레이,2022-11-18,오후 3:07
